FacilityName,BCR,AnnualProduction,ConstructionCost,DesignHead,Y,X1,X2,X3
Sixth Water Flow Control ,3.02,114420,38227.9,1149,1.105256831,11.64763117,10.55132089,7.046647278
Soldier Creek Dam ,1.39,2909,1790.2,233,0.329303747,7.975564658,7.490082624,5.451038454
South Canal Tunnels ,0.84,4497,5005.8,18,-0.174353387,8.411165787,8.518352519,2.890371758
South Canal Sta 19+ 10 Site 1,1.32,12576,8883.4,51,0.277631737,9.439545515,9.091939646,3.931825633
South Canal Sta. 181+10 Site 4,1.44,15536,9975.1,63,0.364643114,9.650915191,9.207847267,4.143134726
South Canal Sta. 472+00 Site 5,1.05,6905,6155.4,28,0.048790164,8.840001066,8.725085024,3.33220451
South Canal Sta.106+65 Site 3,1.26,11343,8399.7,46,0.231111721,9.336356093,9.03595127,3.828641396
Southside Canal Sta 171+ 90 thru 200+ 67 (2 canal drops) ,1.05,6557,5595.9,346,0.048790164,8.78828846,8.629789466,5.846438775
Southside Canal Sta 349+ 05 thru 375+ 42 (3 canal drops) ,0.93,5344,5169.8,282,-0.072570693,8.583729715,8.550589282,5.641907071
Spanish Fork Flow Control Structure,1.66,22920,13147.5,900,0.506817602,10.03976517,9.483986905,6.802394763
Starvation Dam ,1.23,13168,10530.6,144,0.207014169,9.485544923,9.262040584,4.9698133
Stateline Dam ,0.09,720,8492.4,89,-2.407945609,6.579251212,9.046926925,4.48863637
Steinaker Dam ,0.71,1965,2388.4,120,-0.342490309,7.583247524,7.778378965,4.787491743
Stillwater Tunnel ,0.21,1334,6342.4,65,-1.560647748,7.195937226,8.755012525,4.17438727
Sumner Dam ,0.98,4300,4193.5,114,-0.020202707,8.366370302,8.341290986,4.736198448
Syar Tunnel ,0.99,7982,8246.1,125,-0.010050336,8.984944286,9.01749564,4.828313737
Taylor Park Dam ,1.12,12488,10991.2,141,0.113328685,9.432523462,9.304850232,4.94875989
Upper Diamond Fork Flow Control Structure ,2.36,52161,22058.5,547,0.858661619,10.86209037,10.00145329,6.304448802
Upper Stillwater Dam ,0.32,1904,6064.5,161,-1.139434283,7.551712215,8.710207378,5.081404365
Vega Dam ,0.51,1702,3012.5,90,-0.673344553,7.439559309,8.010525578,4.49980967
Weber-Provo Canal ,0.14,1844,14266.2,184,-1.966112856,7.519692404,9.565648382,5.214935758
Weber-Provo Diversion Canal ,0.04,517,13771.4,100,-3.218875825,6.248042875,9.530349257,4.605170186
